timestamp;execution_id;video;multipleMarkersBehaviour;amountMarkersEmployed;sampleSpaceMillis;RT_ransac_threshold;kalmanQ;kalmanR;realX;realY;realZ;rawX;rawY;rawZ;kalmanX;kalmanY;kalmanZ;errorX;errorY;errorZ;euclideanError;euclideanError3d;markers_info;;alpha;ti;tf;xi;yi;xf;yf
0;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,733;0,691;1,355;3,7434218;0,7877424;1,3514366;0;0;0;0,0104218;0,0967424;0,00356339999999999;0,0973021370423076;0,0973673646175144;[PositionFromMarker(markerId=5, x=3.7434216915615366, y=0.7877423472695886, z=1.3514366188977107, distance=2.8625041573429373)];;0;0;14250;3,733;0,691;0,693;0,882
0;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,733;0,691;1,355;3,7285697;0,9767391;1,4366771;0;0;0;0,00443030000000011;0,2857391;0,0816771000000001;0,285773443179908;0,297216435432683;[PositionFromMarker(markerId=3, x=3.7032256651911575, y=1.6501072945402142, z=1.926282965174713, distance=3.761611573548437), PositionFromMarker(markerId=27, x=3.7282680109367043, y=0.631751712520224, z=1.0962533523880507, distance=3.7506960036229957), PositionFromMarker(markerId=5, x=3.7434216915615366, y=0.7877423472695886, z=1.3514366188977107, distance=2.8625041573429373)];;0;0;14250;3,733;0,691;0,693;0,882
0;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,733;0,691;1,355;3,7249718;1,0232004;1,457991;0;0;0;0,00802820000000004;0,3322004;0,102991;0,332297393542892;0,34789179903585;[PositionFromMarker(markerId=3, x=3.7032256651911575, y=1.6501072945402142, z=1.926282965174713, distance=3.761611573548437), PositionFromMarker(markerId=27, x=3.7282680109367043, y=0.631751712520224, z=1.0962533523880507, distance=3.7506960036229957), PositionFromMarker(markerId=5, x=3.7434216915615366, y=0.7877423472695886, z=1.3514366188977107, distance=2.8625041573429373)];;0;0;14250;3,733;0,691;0,693;0,882
0;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,733;0,691;1,355;3,728268;0,7877424;1,3514366;0;0;0;0,00473200000000018;0,0967424;0,00356339999999999;0,096858059973138;0,0969235864035169;[PositionFromMarker(markerId=3, x=3.7032256651911575, y=1.6501072945402142, z=1.926282965174713, distance=3.761611573548437), PositionFromMarker(markerId=27, x=3.7282680109367043, y=0.631751712520224, z=1.0962533523880507, distance=3.7506960036229957), PositionFromMarker(markerId=5, x=3.7434216915615366, y=0.7877423472695886, z=1.3514366188977107, distance=2.8625041573429373)];;0;0;14250;3,733;0,691;0,693;0,882
0;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,733;0,691;1,355;3,728268;0,7877424;1,3514366;0;0;0;0,00473200000000018;0,0967424;0,00356339999999999;0,096858059973138;0,0969235864035169;[PositionFromMarker(markerId=3, x=3.7032256651911575, y=1.6501072945402142, z=1.926282965174713, distance=3.761611573548437), PositionFromMarker(markerId=27, x=3.7282680109367043, y=0.631751712520224, z=1.0962533523880507, distance=3.7506960036229957), PositionFromMarker(markerId=5, x=3.7434216915615366, y=0.7877423472695886, z=1.3514366188977107, distance=2.8625041573429373)];;0;0;14250;3,733;0,691;0,693;0,882
277;1748330475944;v1;CLOSEST;1;0;0;0,0001;0,01;3,67390666666667;0,694712771929825;1,355;3,7692673;0,7614276;1,4043618;0;0;0;0,0953606333333332;0,0667148280701755;0,0493618;0,116380920576213;0,126416399147448;[PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0194385964912281;0;14250;3,733;0,691;0,693;0,882
277;1748330475944;v1;WEIGHTED_AVERAGE;3;0;0;0,0001;0,01;3,67390666666667;0,694712771929825;1,355;3,7333639;0,7767609;1,3395447;0;0;0;0,0594572333333332;0,0820481280701755;0,0154553;0,10132649167653;0,102498410785553;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0194385964912281;0;14250;3,733;0,691;0,693;0,882
277;1748330475944;v1;AVERAGE;3;0;0;0,0001;0,01;3,67390666666667;0,694712771929825;1,355;3,725197;0,77903223;1,3238231;0;0;0;0,0512903333333332;0,0843194580701755;0,0311769;0,0986938159293282;0,103501055049222;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0194385964912281;0;14250;3,733;0,691;0,693;0,882
277;1748330475944;v1;WEIGHTED_MEDIAN;3;0;0;0,0001;0,01;3,67390666666667;0,694712771929825;1,355;3,7045715;0,7614276;1,4043618;0;0;0;0,0306648333333333;0,0667148280701755;0,0493618;0,0734247934133555;0,0884747850352513;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0194385964912281;0;14250;3,733;0,691;0,693;0,882
277;1748330475944;v1;MEDIAN;3;0;0;0,0001;0,01;3,67390666666667;0,694712771929825;1,355;3,7045715;0,7614276;1,4043618;0;0;0;0,0306648333333333;0,0667148280701755;0,0493618;0,0734247934133555;0,0884747850352513;[PositionFromMarker(markerId=3, x=3.7045713898635007, y=0.601510576072665, z=1.136780745160712, distance=3.7619471251690024), PositionFromMarker(markerId=27, x=3.7017523690365177, y=0.9741585497288942, z=1.4303266989571362, distance=3.7251679565285905), PositionFromMarker(markerId=5, x=3.7692672149412045, y=0.7614276064727843, z=1.4043617894888785, distance=2.885395703510661)];;0,0194385964912281;0;14250;3,733;0,691;0,693;0,882
